c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
B,B,Y,O,Y,R,G,P,R,a
B,O,P,Y,B,G,R,R,Y,a
B,P,B,R,O,Y,Y,G,R,a
B,G,Y,R,Y,B,R,P,O,a
G,O,Y,P,B,B,R,R,Y,a
B,O,R,Y,Y,G,B,R,P,a
B,B,Y,P,R,Y,R,G,O,a
B,P,R,R,Y,G,B,Y,O,a
B,O,R,R,B,Y,P,G,Y,a
B,B,Y,G,O,P,R,Y,R,a
B,B,P,R,R,O,Y,G,Y,a
B,G,O,P,R,Y,Y,B,R,a
B,B,Y,G,Y,O,P,R,R,a
G,B,R,Y,B,O,R,P,Y,a
B,G,Y,Y,B,R,O,P,R,a
B,G,Y,Y,R,R,B,O,P,a
B,O,Y,P,R,B,Y,R,G,a
B,G,Y,P,R,Y,B,R,O,a
G,O,R,R,B,P,Y,B,Y,a
B,G,Y,Y,R,R,O,P,B,a
B,G,R,Y,P,O,Y,R,B,a
O,B,R,G,B,Y,R,P,Y,a
B,B,O,G,Y,R,Y,P,R,a
B,G,R,Y,P,O,B,R,Y,a
B,O,Y,R,B,Y,P,G,R,a
G,B,R,O,Y,P,R,B,Y,a
B,G,P,R,Y,O,R,B,Y,a
B,G,R,O,B,Y,P,R,Y,a
B,B,O,P,R,Y,Y,G,R,a
G,B,Y,P,B,O,R,Y,R,a
B,B,P,Y,R,G,R,O,Y,a
B,B,R,O,Y,R,Y,G,P,a
G,P,R,Y,B,B,R,O,Y,a
P,B,R,O,B,G,Y,R,Y,a
B,B,O,R,Y,G,R,P,Y,a
B,O,R,Y,Y,B,P,G,R,a
B,B,R,P,Y,G,O,R,Y,a
B,G,B,R,R,Y,Y,O,P,a
B,O,Y,R,B,G,Y,R,P,a
B,B,Y,P,G,O,R,Y,R,a
B,P,Y,Y,R,B,G,O,R,a
P,B,Y,B,R,G,Y,O,R,a
G,B,R,Y,B,O,Y,P,R,a
B,G,Y,R,O,B,Y,P,R,a
P,G,Y,O,B,B,R,R,Y,a
B,B,R,G,Y,Y,O,P,R,a
B,G,B,Y,R,Y,O,P,R,a
B,G,P,R,B,O,R,Y,Y,a
P,B,R,Y,B,O,Y,G,R,a
B,O,R,P,R,Y,G,Y,B,a
B,B,R,Y,R,G,O,P,Y,a
B,G,R,Y,Y,P,R,B,O,a
B,O,P,Y,R,G,B,R,Y,a
B,B,G,Y,R,P,R,O,Y,a
B,B,Y,R,O,P,R,G,Y,a
B,B,Y,R,Y,P,R,G,O,a
O,B,Y,G,B,Y,R,P,R,a
B,B,Y,P,O,G,Y,R,R,a
B,B,R,O,R,Y,Y,G,P,a
B,O,R,R,B,G,P,Y,Y,a
B,G,R,O,Y,Y,P,B,R,a
B,B,G,P,Y,Y,R,O,R,a
B,O,R,Y,B,R,Y,G,P,a
B,G,R,P,Y,Y,O,R,B,a
B,B,Y,O,P,R,Y,G,R,a
B,G,B,O,P,R,Y,R,Y,a
B,G,Y,R,Y,R,B,O,P,a
B,G,Y,Y,O,P,R,B,R,a
O,B,Y,G,B,P,R,R,Y,a
B,O,G,Y,B,Y,R,P,R,a
G,O,Y,P,B,R,Y,B,R,a
B,B,Y,R,G,P,Y,O,R,a
B,O,Y,R,G,B,R,P,Y,a
B,G,Y,R,B,O,P,Y,R,a
B,G,P,O,Y,Y,R,B,R,a
B,B,P,O,R,G,R,Y,Y,a
B,G,R,R,O,B,Y,P,Y,a
P,G,R,O,R,B,Y,B,Y,a
B,O,R,R,P,G,Y,B,Y,a
P,G,R,Y,B,O,Y,B,R,a
B,O,B,P,R,Y,G,R,Y,a
O,P,Y,Y,B,B,R,G,R,a
B,G,B,R,P,R,Y,O,Y,a
