c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
B,B,O,Y,W,G,O,R,R,a
B,B,R,R,W,G,G,O,O,a
G,R,Y,Y,W,G,R,P,P,a
B,B,R,O,W,P,G,R,Y,a
B,P,Y,R,W,Y,O,G,R,a
B,G,O,Y,W,O,R,R,B,a
B,B,Y,P,W,O,G,Y,R,a
B,O,Y,R,W,G,P,B,R,a
B,G,Y,R,W,Y,O,P,R,a
G,P,R,Y,W,B,Y,R,O,a
B,B,O,G,W,O,R,Y,P,a
G,P,R,R,W,Y,Y,G,P,a
B,P,R,R,W,G,O,Y,Y,a
B,G,R,P,W,Y,O,B,O,a
B,B,O,G,W,P,O,Y,R,a
B,R,R,Y,W,G,G,P,Y,a
G,R,R,Y,W,P,Y,B,P,a
G,O,Y,R,W,B,R,G,P,a
O,B,P,G,W,Y,R,P,Y,a
O,P,P,R,W,B,Y,G,Y,a
B,G,Y,R,W,B,O,R,G,a
G,G,R,Y,W,P,R,B,O,a
B,B,G,P,W,O,O,Y,R,a
B,G,G,O,W,R,R,B,O,a
B,B,Y,G,W,R,P,Y,O,a
B,B,O,R,W,G,P,O,Y,a
B,B,Y,R,W,Y,O,P,P,a
B,Y,G,Y,W,P,R,R,P,a
B,G,P,R,W,Y,R,O,G,a
B,G,P,Y,W,R,R,G,O,a
G,P,P,Y,W,R,R,B,Y,a
B,O,R,R,W,Y,P,G,Y,a
G,B,Y,O,W,R,R,G,P,a
B,P,Y,R,W,G,O,Y,R,a
G,B,R,O,W,B,O,Y,R,a
G,B,R,P,W,G,Y,R,O,a
B,B,O,Y,W,R,R,O,G,a
B,P,Y,R,W,B,Y,O,P,a
G,B,O,P,W,O,Y,B,R,a
G,B,R,G,W,B,O,O,R,a
B,G,G,R,W,O,P,Y,R,a
P,G,R,R,W,G,Y,Y,P,a
B,R,G,Y,W,G,P,O,R,a
B,B,O,R,W,G,Y,R,O,a
B,B,Y,O,W,P,Y,R,P,a
B,P,R,Y,W,G,P,Y,O,a
B,B,R,Y,W,R,O,G,G,a
B,P,O,R,W,G,G,R,Y,a
B,G,O,O,W,R,Y,R,B,a
B,O,G,R,W,P,O,B,Y,a
G,B,O,R,W,P,R,G,Y,a
B,O,B,Y,W,Y,O,P,P,a
